Wall time,Step,Value
1531921025.033421,0,0.0
1531921616.150267,1881,0.0
1531922218.768075,3806,0.0
1531922818.563212,5733,0.0
1531923419.52996,7664,0.0
1531924017.871768,9596,0.0
1531924617.109341,11526,0.0
1531925217.53318,13457,0.0
1531925817.278314,15390,0.0
1531926417.621288,17323,2.1645020751748234e-05
1531927015.952412,19260,0.0
1531927617.463036,21191,0.0
1531928217.273297,23123,0.0
1531928817.246829,25055,3.876720256812405e-06
1531929417.575584,26985,0.0
1531930017.639075,28918,0.0
1531930317.226737,30851,0.0
1531930917.747264,32785,0.0
1531931517.814679,34717,7.5757575359602924e-06
1531932117.355332,36648,1.8850141714210622e-05
1531932718.079308,38581,0.0
1531933317.768367,40521,0.0
1531933918.302854,42453,0.0
1531934518.514266,44386,0.0
1531935118.352676,46320,6.402048711606767e-06
1531935718.280237,48252,1.201923078042455e-05
1531936319.175333,50187,0.0
1531936919.691054,52121,0.0
1531937519.054205,54054,1.6969925127341412e-05
1531938118.710954,55986,1.7675651179160923e-05
1531938719.298038,57916,0.0
1531939319.293306,59849,0.0
1531939919.238594,61779,0.0
1531940518.970518,63712,0.0
1531941119.792068,65643,0.0
1531941719.009222,67578,0.0
1531942318.790884,69513,0.0
1531942917.864594,71446,0.0
1531943519.400677,73381,5.5865921240183525e-06
1531944120.232675,75316,9.857072654995136e-06
1531944720.175071,77248,0.0
1531945319.596575,79180,0.0
1531945919.835724,81114,0.0
1531946520.90562,83049,4.310345047997544e-06
1531947119.849757,84986,0.0
1531947721.483162,86921,0.0
1531948320.541927,88857,4.147656454733806e-06
1531948920.696919,90790,0.0
1531949520.355071,92721,0.0
1531950120.630405,94657,0.0
1531950720.880801,96589,5.911912467126967e-06
1531951320.856935,98521,0.0
1531951921.11115,100457,0.0
1531952520.861394,102388,0.0
1531953120.477715,104323,0.0
1531953721.619385,106255,0.0
1531954321.394522,108190,0.0
1531954921.59106,110126,0.0
1531955522.222547,112061,4.956629709340632e-06
1531956121.783109,113993,0.0
1531956722.247551,115927,1.1918950804101769e-05
1531957323.257425,117862,0.0
1531957923.645514,119793,7.870917215768714e-06
1531958523.350166,121718,0.0
1531959123.007061,123650,0.0
1531959723.464122,125587,0.0
1531960322.837256,127516,0.0
1531960923.104829,129453,1.574534508108627e-05
1531961522.025339,131388,0.0
1531962123.782377,133325,0.0
1531962725.692534,135260,6.684491836494999e-06
1531963326.650664,137190,0.0
1531963927.322193,139119,9.896090887195896e-06
1531964524.52319,141046,0.0
1531965126.393939,142972,0.0
1531965726.02112,144879,0.0
1531966325.897619,146794,0.0
1531966925.697632,148683,0.0
1531967524.048019,150545,0.0
1531968122.825531,152416,0.0
1531968723.444896,154286,0.0
1531969322.434037,156158,0.0
1531969923.727196,158037,0.0
1531970523.07103,159918,0.0
1531971124.306908,161789,0.0
1531971724.296801,163658,0.0
1531972325.230232,165555,0.0
1531972923.96893,167458,0.0
1531973526.043302,169327,0.0
1531974125.014638,171192,0.0
1531974724.905063,173059,6.031363227521069e-06
1531975324.714917,174923,1.2523481927928515e-05
1531975925.484498,176798,0.0
1531976527.59729,178668,0.0
1531977123.845307,180536,0.0
1531977724.38859,182447,0.0
1531978324.728675,184329,0.0
1531978925.585383,186217,0.0
1531979525.760012,188102,0.0
1531980125.422285,189991,0.0
1531980726.00929,191880,0.0
1531981324.767509,193798,0.0
1531981925.612168,195717,0.0
1531982526.081246,197604,0.0
1531983126.117153,199467,0.0
1531983423.558012,200000,0.0
